ID,Tweet content,User,Urls list,Hyperlinks_exist,Media_exists,Hashtags list,@ list,ID,created_at,Compound,Subjectivity,Favorites_count,Retweet_count,Replies count,Classification,Sentiment

1,"The best way to protect yourself is to get vaccinated and boosted when recommended. 

Continue wearing masks � especially in crowded indoor spaces. 

And for the indoors, keep the air fresh by opening windows and doors, and invest in good ventilation.

#COVID19 is not over yet. https://t.co/GiGOWGDWCz",DrTedros,,no,yes,COVID19,,1514356055794458628,2022-04-13 21:33:13+00:00,0.936,0.6000000000000001,690,348,220,Misinformation,positive

2,"How can anyone defend mask mandates on planes because of #COVID19, but at the same time support illegal immigrants freely entering the United States after being exposed to COVID?",JudiciaryGOP,,no,no,COVID19,,1514298089363935241,2022-04-13 17:42:53+00:00,0.6956,0.47500000000000003,2732,458,345,Misinformation,positive

3,"This is only nominally about the #GridironDinner. It's about how we are slipping into a #COVID19 public health apartheid, where those with privilege will go back to normal, those at high-risk will be on their own, abandoned by their country.  https://t.co/IFpggdWxg5",gregggonsalves,https://www.thenation.com/article/society/covid-media-gridiron-dinner/,yes,no,GridironDinner COVID19,,1514566936637722625,2022-04-14 11:31:11+00:00,-0.128,0.4694444444444444,674,211,31,Information,neutral

4,"This new study on household transmission of #COVID19 from Canada is pretty interesting

-Children made up less than half index cases
-Adults odds of transmitting more than double vs children
-Mask use in household didn't reduce transmission

1/
https://t.co/xReWWAHIoS",apsmunro,https://www.cmajopen.ca/content/10/2/E357,yes,no,COVID19,,1514583669310115842,2022-04-14 12:37:41+00:00,0.7096,0.383982683982684,452,163,17,Misinformation,positive

5,"Lauded contribution of pharma sector in fight against #COVID19, at the Annual Conclave of Indian Drug Manufacturers' Association.

Being the pharmacy of the world &amp; guided by mantra of Vasudaiva Kutumbakam, we also supplied medicines &amp; COVID-19 vaccines to various nations. https://t.co/5dEpnlqC4E",mansukhmandviya,,no,yes,COVID19,,1514519494336475139,2022-04-14 08:22:40+00:00,-0.3818,0.5,193,95,18,Misinformation,negative

6,"Dear Ontario: a reminder that a ""plateau"" of 100k daily cases of #Covid19 is still a ton. Cause for guarded optimism? Sure. Validation for unsafe practices? Not so much. Masks, 3rd/4th vaccines, ventilation awareness - they all still matter! #WeNotMe https://t.co/ikTHDt0AvO",SharkawyMD,,no,yes,Covid19 WeNotMe,,1514649580473835523,2022-04-14 16:59:35+00:00,0.8463,0.4222222222222222,674,156,88,Misinformation,positive

7,Life very far from normal for the families of 21 people reported in nsw today to have died �with covid� - half had had 3 vaccines #COVID19,DeborahSnow,,no,no,COVID19,,1514416032907415557,2022-04-14 01:31:33+00:00,-0.5574,0.6055555555555555,399,112,14,Misinformation,negative

8,Day 12. Results positive. Friend�s family also sick with #COVID19. They stopped isolating at 5 days. The �rules� allow contagious people back to school/work. @OttawaHealth people need RATs for retesting (+ve means still a risk to others!) and we need broad mask mandates indoors. https://t.co/2uTITbPnWe,nilikm,,no,yes,COVID19,OttawaHealth,1514588326564614154,2022-04-14 12:56:11+00:00,-0.5411,0.42877435064935066,712,143,88,Misinformation,negative

9,"FDA says it authorizes first #covid19 diagnostic test using breath samples, with results in less than three minutes: https://t.co/egpvPa96J1 https://t.co/f7u0rVSzed",megtirrell,https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-fda-authorizes-first-covid-19-diagnostic-test-using-breath-samples?utm_medium=email&utm_source=govdelivery,yes,yes,covid19,,1514709978657046541,2022-04-14 20:59:35+00:00,0.0,0.19999999999999998,200,82,5,Information,neutral

10,"Contrary to the hysteria generated by some pundits, many of whom have no medical training, case numbers have plateaued.

Those who aren't doctors need to stop playing doctor. They are causing more harm than good.

#COVID19
https://t.co/cxymJTFpuj",DrJacobsRad,https://www.cp24.com/mobile/news/covid-19-infections-in-ontario-appear-to-have-plateaued-head-of-science-table-1.5861485,yes,no,COVID19,,1514625075550601223,2022-04-14 15:22:13+00:00,-0.7294,0.4,587,129,47,Misinformation,negative

11,"-Fauci was wrong about #COVID. 

-The 51 �intelligence� officials were wrong about Hunter Biden.

-The National School Boards Association was wrong about parents. 

Americans are tired of the �experts.�",Jim_Jordan,,no,no,COVID,,1514293782921068550,2022-04-13 17:25:46+00:00,-0.9042,0.8500000000000001,19610,4015,2321,Misinformation,negative

12,"Never have I had more friends, colleagues &amp; acquaintances calling me for advice after their children brought home #COVID from school.

Kids are missing school.
Parents are missing work.
The vulnerable among us are at higher risk for exposure.

Masks should stay on in school.",drmwarner,,no,no,COVID,,1514273928721711104,2022-04-13 16:06:53+00:00,-0.4601,0.32,5416,1091,685,Misinformation,negative

13,Feel the need to tweet this again. #covid #rules #law https://t.co/HCXNykLOW5,ShelaghFogarty,https://twitter.com/g__ferris/status/1246475565072371712,yes,no,covid rules law,,1514505823736713216,2022-04-14 07:28:21+00:00,0.0,0.0,512,140,25,Information,neutral

14,"A new film, The Color of Care, from @Oprah and @yford will chronicle an urgent crisis � people of color in the US suffer from substandard healthcare, and #COVID has amplified the tragic consequences of these inequities.

Watch on Smithsonian Channel on May 1. #TheColorOfCare https://t.co/VbyeKm6s4h",SmithsonianChan,,no,yes,COVID TheColorOfCare,Oprah yford,1514683817797341185,2022-04-14 19:15:38+00:00,-0.765,0.6022727272727273,150,45,13,Misinformation,negative

15,"#COVID is over for illegal immigrants at the southern border. 

But not for Americans flying on planes. https://t.co/Nd9KjVs07e",JudiciaryGOP,https://twitter.com/ZekeJMiller/status/1514255657511358466,yes,no,COVID,,1514271768600530948,2022-04-13 15:58:18+00:00,-0.3182,0.25,699,179,115,Information,neutral

16,"Thanks to @GregAbbott_TX�s non-stop emergency orders, procurement laws are suspended, allowing billions in no-bid contracts related to the emergencies. The border emergency renews every month &amp; same w/#COVID � *25 times* � since he first issued one in March �20. #txlege https://t.co/qGkASBMQKy",byjayroot,https://twitter.com/mizanur_tx/status/1514668935383236613,yes,no,COVID txlege,GregAbbott_TX,1514673236574887946,2022-04-14 18:33:35+00:00,-0.6597,0.26458333333333334,61,57,2,Misinformation,negative

17,"In #Shanghai, official new daily �symptomatic� #Covid infections have gone up rapidly in recent days, both in overall number and as a proportion of all infections. I wonder if they�ve changed the definition of �symptomatic� to include more people needing hospitalisation?",StephenMcDonell,,no,no,Shanghai Covid,,1514805105404481539,2022-04-15 03:17:35+00:00,0.0772,0.2409090909090909,116,50,6,Information,neutral

