followers_count,likes_count,shares_count,comments_count,view_count,engagement_rate,posts_count,sentiment,subjectivity
3500000,116000,528,857.0,2400000.0,1.78,2120,0.0,0.0
269000,109000,1695,80800.0,2700000.0,0.54,503,1.0,0.7
3500000,82531,922,1025.0,3600000.0,1.78,2120,2.0,0.0
614000,3575,38,13.0,146000.0,0.31,1590,1.0,0.0
2700000,4468,22,28.0,436000.0,0.31,17900,0.0,0.0
369000,2593,28,19.0,282000.0,0.21,11800,1.0,0.0
758000,2206,29,52.0,,0.54,7937,0.0,0.4
515000,11600,205,84.0,,2.48,3185,0.0,1.0
369000,292,2,6.0,41300.0,0.21,11800,1.0,0.7307692307692308
2700000,11847,366,164.0,446000.0,0.31,17900,2.0,0.1583333333333333
3500000,76246,1653,701.0,3800000.0,1.78,2120,0.0,0.9
515000,7035,216,211.0,,2.48,3185,2.0,0.0
515000,6197,66,53.0,,2.48,3185,0.0,0.2
3500000,134619,2132,2919.0,2800000.0,1.78,2120,2.0,0.0
758000,2120,33,32.0,69500.0,0.54,7937,0.0,0.0
369000,5117,89,73.0,434000.0,0.21,11800,2.0,0.6000000000000001
2700000,44645,926,262.0,1200000.0,,17900,2.0,0.4
3500000,63700,1333,372.0,2300000.0,1.78,2120,0.0,0.375
515000,7036,156,95.0,,2.48,3185,1.0,1.0
269000,939,23,373.0,27000.0,0.54,503,2.0,0.5666666666666667
758000,1775,23,30.0,12700.0,0.54,7937,0.0,1.0
3500000,66055,584,269.0,4600000.0,1.78,2120,1.0,0.2772727272727273
515000,2450,27,16.0,,2.48,3185,2.0,0.3
758000,4703,39,141.0,203000.0,0.54,7937,2.0,0.0
3500000,55702,459,877.0,2400000.0,1.78,2120,1.0,0.0
758000,1180,29,21.0,109000.0,0.54,7937,0.0,0.0
369000,6337,127,273.0,596000.0,0.21,11800,1.0,0.0
515000,7715,161,120.0,429000.0,2.48,3185,0.0,0.6666666666666666
2700000,43900,2207,603.0,1800000.0,0.31,17900,0.0,0.4
52100,445,9,6.0,41300.0,,5117,1.0,0.360479797979798
3500000,84400,492,2317.0,3800000.0,1.78,2120,0.0,0.1
2700000,13500,396,115.0,445000.0,0.31,17900,0.0,0.2375
369000,210,3,3.0,18100.0,0.21,11800,2.0,0.0
515000,24900,817,334.0,528000.0,2.48,3185,2.0,0.5
758000,34703,738,1412.0,2900000.0,0.54,7937,1.0,0.0
2700000,84735,5450,948.0,2600000.0,0.31,17900,0.0,0.5666666666666667
614000,1782,6,6.0,82100.0,0.31,1590,1.0,0.0
369000,1483,1,25.0,117000.0,0.21,11800,1.0,0.0
369000,2080,152,75.0,71600.0,0.21,11800,0.0,0.3
3500000,94400,898,1261.0,3600000.0,1.78,2120,1.0,0.0
3500000,65158,468,573.0,3300000.0,1.78,2120,1.0,0.0
515000,25200,1066,238.0,876000.0,2.48,3185,1.0,1.0
2700000,27900,198,981.0,1200000.0,0.31,17900,0.0,0.7
3500000,99823,1410,908.0,2100000.0,1.78,2120,1.0,0.0
515000,3101,5,17.0,,2.48,3185,2.0,0.3
614000,1402,15,,51300.0,0.31,1590,2.0,0.0
614000,1966,24,31.0,80600.0,0.31,1590,0.0,0.0
758000,256,1,2.0,9896.0,0.54,7937,1.0,0.0
2700000,10501,24,222.0,1100000.0,0.31,17900,0.0,0.1
3500000,68891,118,673.0,3000000.0,1.78,2120,1.0,0.0666666666666666
3500000,92500,1691,3238.0,4700000.0,1.78,2120,1.0,0.0
758000,5810,97,273.0,210000.0,0.54,7937,0.0,0.4
3500000,84611,855,1194.0,2400000.0,1.78,2120,0.0,0.375
3500000,89208,186,413.0,2900000.0,1.78,2120,0.0,0.2
4000000,33004,257,676.0,,,11900,0.0,0.5375000000000001
269000,1122,35,406.0,38100.0,0.54,503,0.0,0.4166666666666666
614000,5372,113,89.0,174000.0,0.31,1590,1.0,0.2272727272727272
515000,7740,144,119.0,154000.0,2.48,3185,1.0,0.525
369000,2013,2,167.0,450000.0,0.21,11800,0.0,0.45
758000,17400,1169,791.0,1000000.0,0.54,7937,2.0,1.0
515000,10100,158,210.0,355000.0,2.48,3185,1.0,0.05
515000,14000,200,181.0,346000.0,2.48,3185,0.0,0.5
369000,2396,29,35.0,84400.0,0.21,11800,0.0,0.5
369000,2014,34,27.0,256000.0,0.21,11800,0.0,0.0
515000,51195,492,399.0,705000.0,2.48,3185,0.0,0.0
3500000,41300,219,130.0,2100000.0,1.78,2120,1.0,0.0
369000,353,10,6.0,25500.0,0.21,11800,2.0,0.6666666666666666
3500000,155951,1437,856.0,4600000.0,1.78,2120,0.0,0.0
369000,4328,197,341.0,427000.0,0.21,11800,2.0,0.0
515000,26000,209,216.0,443000.0,2.48,3185,1.0,0.2
758000,1180,29,21.0,109000.0,0.54,7937,0.0,0.0
3500000,32500,159,0.0,870000.0,1.78,2120,1.0,0.4545454545454545
758000,32600,1119,2076.0,1500000.0,0.54,7937,0.0,0.9
369000,2280,31,25.0,313000.0,0.21,11800,2.0,0.4
614000,3575,38,13.0,146000.0,0.31,1590,1.0,0.0
614000,2399,55,45.0,109000.0,0.31,1590,1.0,0.0
758000,5231,67,162.0,194000.0,0.54,7937,0.0,0.0
2700000,8651,44,42.0,667000.0,0.31,17900,0.0,0.5333333333333333
758000,13649,413,263.0,,0.54,7937,1.0,0.0
614000,2108,15,8.0,141000.0,0.31,1590,2.0,0.4416666666666666
758000,3103,20,78.0,134000.0,0.54,7937,1.0,1.0
515000,4654,79,52.0,128000.0,2.48,3185,2.0,0.4499999999999999
369000,174,13,8.0,16500.0,0.21,11800,1.0,0.0
2700000,17100,270,995.0,637000.0,0.31,17900,2.0,0.5678571428571428
515000,22600,408,321.0,402000.0,2.48,3185,1.0,0.0
369000,2031,47,15.0,170000.0,0.21,11800,1.0,0.5
758000,1747,13,30.0,82900.0,0.54,7937,2.0,0.0
369000,235,2,8.0,24900.0,0.21,11800,1.0,0.3
2700000,7992,44,28.0,738000.0,0.31,17900,0.0,0.25
2700000,23700,213,129.0,1300000.0,0.31,17900,2.0,0.3055555555555556
515000,9080,12,132.0,,2.48,3185,0.0,0.0
515000,40485,289,706.0,632000.0,2.48,3185,2.0,0.2
2700000,13148,225,55.0,599000.0,0.31,17900,0.0,0.8571428571428571
758000,2764,38,13.0,98900.0,0.54,7937,2.0,0.7
369000,441,9,15.0,45900.0,0.21,11800,0.0,0.3111111111111111
614000,3575,38,13.0,146000.0,0.31,1590,1.0,0.0
515000,10126,158,210.0,355000.0,2.48,3185,1.0,0.05
369000,21000,1042,299.0,1400000.0,0.21,11800,1.0,0.0
369000,28800,609,158.0,1000000.0,0.21,11800,0.0,0.0
1300000,16656,231,520.0,880000.0,0.0205,682,0.0,0.9
