Favorites_count,Retweet_count,Replies count
2012,709,514
242,134,17
32,15,4
28,13,1
199,33,8
58,11,1
755,325,17
10120,1063,257
258,23,9
82,18,1
1787,84,4
443,101,4
343,84,3
304,77,10
27904,8159,762
105,44,0
156,25,3
6666,1953,236
11532,3322,710
13307,1537,175
153,27,5
108,62,5
4061,1037,102
6610,732,96
71,38,11
955,187,81
105,44,0
4542,717,167
26,16,0
67,21,4
1600,326,69
387,207,21
166,46,4
454,119,7
16986,5577,568
155,26,7
905,221,74
195,85,1
57,16,0
154,32,3
193,95,18
131,31,2
1371,293,83
122,36,2
434,236,26
748,337,81
4013,1952,136
92,84,4
7195,2626,401
53,22,3
3,5,1
21,13,6
53,13,14
44,20,2
58,30,1
29835,3050,310
177,74,14
27,11,1
712,143,88
32,17,0
151,59,3
345,46,12
430,126,10
80,9,6
11531,3322,710
110,8,10
91,24,3
61,17,0
31,16,3
34879,9706,5778
272,41,13
12,10,1
226,29,8
21,11,11
345,75,46
512,140,25
28,19,1
1672,472,75
1731,501,58
64,34,0
84,36,1
85,20,1
350,222,108
2868,2238,149
1765,1085,65
29836,3050,310
4349,866,96
37,24,0
6336,2848,293
364,198,12
824,197,96
128,88,13
1003,178,16
747,115,9
14,4,0
246,32,51
30,26,0
674,211,31
7068,2822,263
8,7,0
1720,611,34
1970,474,42
567,97,41
22545,5343,905
96,57,14
652,116,10
129,33,8
29480,5126,659
428,166,13
1840,777,82
9687,2029,119
601,40,55
72,52,10
44,31,2
79,26,8
246,83,2
399,112,14
121,23,25
9026,5716,2058
884,34,24
8,4,1
1595,722,78
958,729,63
200,82,5
1390,437,45
19610,4015,2321
408,41,22
22669,12550,710
266,24,16
86,20,42
79,21,1
4541,714,166
674,156,88
3991,913,46
36428,21611,2325
39,18,0
328,104,370
115,16,3
3775,1943,153
44,23,7
3518,1185,61
112,37,1
581,213,24
392,140,5
425,228,1
884,34,24
253,176,14
18109,4920,626
72,39,7
424,228,1
26,17,0
7,10,1
404,203,0
1564,370,35
28,5,0
3117,1037,106
622,90,15
82,9,5
29478,5125,659
155,26,7
685,53,15
95,64,11
